"Name","Component","メーカ","数量","Value","Side","Centre X","Centre Y","Rotation","備考",
"------------------------------------------------------------------",,,,,,,,,,
"C1","RDER71H104K0P1H03B","MURATA",1,"0.1u","Top",8.5,142.5,0,,
"C2","NOT USED","NOT USED",1,"100u","Top",19.75,127.4,270,,
"C3","NOT USED","NOT USED",1,"100u","Top",16.75,142.9,270,,
"C4","RDER71H104K0P1H03B","MURATA",1,"0.1u","Top",23.75,142.5,0,,
"C5","25PK100MEFC5X11","Rubycon",1,"100u","Top",73.6,181.5,0,,
"C6","NOT USED","NOT USED",1,"100u","Top",32,142.9,270,,
"C7","25PK100MEFC5X11","Rubycon",1,"100u","Top",57.75,157.4,270,,
"C8","RDER71H104K0P1H03B","MURATA",1,"0.1u","Top",57.13,114.3,0,,
"C9","RDER71H104K0P1H03B","MURATA",1,"0.1u","Top",118.13,103.505,180,,
"C10","RDER71H104K0P1H03B","MURATA",1,"0.1u","Top",19.665,47.625,0,,
"C11","25PK100MEFC5X11","Rubycon",1,"100u","Top",13.97,45.1,270,,
"C12","25PK100MEFC5X11","Rubycon",1,"100u","Top",67.31,43.83,270,,
"C13","RDER71H104K0P1H03B","MURATA",1,"0.1u","Top",72.39,43.2,270,,
"D1","NOT USED","NOT USED",1,,"Top",9.75,138.5,0,,
"D2","NOT USED","NOT USED",1,,"Top",25,138.5,0,,
"D3","NOT USED","NOT USED",1,,"Top",31,92.5,0,,
"D4","NOT USED","NOT USED",1,,"Top",31,89.25,0,,
"D5","NOT USED","NOT USED",1,,"Top",31,86.25,0,,
"D6","NOT USED","NOT USED",1,,"Top",41,83,180,,
"D7","NOT USED","NOT USED",1,,"Top",41,79.75,180,,
"D8","NOT USED","NOT USED",1,,"Top",41,76.5,180,,
"J1","XG4H-6031","OMRON",1,,"Top",92.71,120.65,0,,
"J1B","XG4Z-0005","OMRON",1,,,,,,"J1の57番に誤挿入防止ピン1本",
"J2","XG4H-6031","OMRON",1,,"Top",92.71,97.79,0,,
"J2B","XG4Z-0005","OMRON",1,,,,,,"J2の27番に誤挿入防止ピン1本",
"J3","XG4H-1431","OMRON",1,,"Top",12.701,69.85,90,"FH-2x07SG","Useconn Electronics Ltd."
"J4","NOT USED","NOT USED",1,,"Top",7.349,127.051,0,,
"P1a","NOT USED","NOT USED",1,,"Top",103.505,151.13,0,,
"P1b","NOT USED","NOT USED",1,,"Top",103.505,146.05,0,,
"P2a","NOT USED","NOT USED",1,,"Top",52.07,151.13,0,,
"P2b","NOT USED","NOT USED",1,,"Top",52.07,146.05,0,,
"P3","1125S-4P","SHENZHEN NS-TECH",1,,"Top",71,172.264,0,"SEED 110990030",
"P4","1125S-4P","SHENZHEN NS-TECH",1,,"Top",71,162.264,0,"SEED 110990030",
"P5","1125S-4P","SHENZHEN NS-TECH",1,,"Top",86,192.264,0,"SEED 110990030",
"P6","1125S-4P","SHENZHEN NS-TECH",1,,"Top",86,182.264,0,"SEED 110990030",
"P7","1125S-4P","SHENZHEN NS-TECH",1,,"Top",86,172.264,0,"SEED 110990030",
"P8","1125S-4P","SHENZHEN NS-TECH",1,,"Top",86,162.264,0,"SEED 110990030",
"P9","1125S-4P","SHENZHEN NS-TECH",1,,"Top",101,172.264,0,"SEED 110990030",
"P10","1125S-4P","SHENZHEN NS-TECH",1,,"Top",101,162.264,0,"SEED 110990030",
"P11","1125S-4P","SHENZHEN NS-TECH",1,,"Top",116,192.264,0,"SEED 110990030",
"P12","1125S-4P","SHENZHEN NS-TECH",1,,"Top",116,182.264,0,"SEED 110990030",
